epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
99,2702.15,0.52677,0.62316,0.4123,0.86174,0,0.92439,0.9589,0.96205,0.79571,0.91119,0.94521,0.93768,0.74117,0.61889,0.7557,0.45083,0.88847,0,0.000520548,0.000520548,0.000520548
100,2727.67,0.51436,0.70183,0.42067,0.84684,0,0.91546,0.96419,0.96011,0.80316,0.90245,0.95049,0.93771,0.74604,0.61668,0.74722,0.45756,0.88288,0,0.000512775,0.000512775,0.000512775
101,2754.3,0.5355,0.72348,0.43225,0.86837,0,0.90583,0.9589,0.96127,0.79856,0.89276,0.94521,0.93778,0.74255,0.6213,0.74769,0.4647,0.8864,0,0.000505,0.000505,0.000505
102,2778.25,0.53766,0.71099,0.40162,0.85595,0,0.8973,0.9726,0.9641,0.80832,0.88456,0.9589,0.94063,0.75328,0.61017,0.74738,0.45792,0.88335,0,0.000497225,0.000497225,0.000497225
103,2801.83,0.49193,0.62291,0.39359,0.85777,0,0.90991,0.96848,0.96604,0.81678,0.89707,0.95514,0.94348,0.7526,0.60071,0.74436,0.44672,0.88552,0,0.000489452,0.000489452,0.000489452
104,2825.4,0.48022,0.63129,0.38131,0.8486,0,0.90424,0.97015,0.95208,0.79639,0.89147,0.95645,0.93183,0.74891,0.62284,0.74194,0.45711,0.89808,0,0.000481682,0.000481682,0.000481682
105,2848.65,0.47992,0.66503,0.40825,0.84073,0,0.9019,0.96575,0.94263,0.78373,0.88911,0.95205,0.92396,0.74208,0.649,0.747,0.47425,0.90358,0,0.000473919,0.000473919,0.000473919
106,2872.48,0.53371,0.69933,0.40817,0.85209,0,0.90274,0.9536,0.93154,0.7693,0.88982,0.94036,0.91454,0.73858,0.64401,0.7479,0.48581,0.90183,0,0.000466163,0.000466163,0.000466163
107,2896.7,0.54561,0.77508,0.42921,0.87992,0,0.90885,0.95617,0.92981,0.77611,0.89583,0.94247,0.91409,0.73467,0.62546,0.75173,0.48448,0.89506,0,0.000458416,0.000458416,0.000458416
108,2920.36,0.49679,0.64338,0.39188,0.83991,0,0.90187,0.95205,0.93585,0.7753,0.90598,0.93151,0.91525,0.71707,0.62584,0.76404,0.48913,0.89353,0,0.000450682,0.000450682,0.000450682
109,2944.02,0.50007,0.6714,0.39751,0.85672,0,0.89795,0.9589,0.93931,0.77852,0.90095,0.93836,0.91672,0.72081,0.65345,0.77417,0.49223,0.90124,0,0.00044296,0.00044296,0.00044296
110,2967.86,0.53192,0.71798,0.40196,0.86328,0,0.89989,0.96575,0.94193,0.7704,0.8859,0.95205,0.91979,0.73116,0.68368,0.7802,0.49248,0.9172,0,0.000435254,0.000435254,0.000435254
111,2991.64,0.51619,0.77216,0.39467,0.85235,0,0.88313,0.98337,0.94252,0.77278,0.87698,0.97652,0.92887,0.73818,0.67826,0.77217,0.49171,0.91352,0,0.000427565,0.000427565,0.000427565
112,3015.61,0.52314,0.70084,0.39925,0.86615,0,0.91027,0.97281,0.95418,0.79094,0.90395,0.96686,0.94067,0.75297,0.65431,0.7562,0.4664,0.90274,0,0.000419895,0.000419895,0.000419895
113,3039.1,0.5276,0.72836,0.40624,0.85518,0,0.91053,0.97594,0.96022,0.79364,0.89777,0.96236,0.93916,0.75694,0.65138,0.75992,0.45582,0.90517,0,0.000412246,0.000412246,0.000412246
114,3063.73,0.5382,0.80203,0.43601,0.86073,0,0.90508,0.9726,0.96197,0.79887,0.8922,0.9589,0.94257,0.76357,0.64772,0.76201,0.44833,0.90477,0,0.00040462,0.00040462,0.00040462
115,3087.41,0.52424,0.62595,0.39012,0.85876,0,0.89627,0.97945,0.96585,0.80405,0.88374,0.96575,0.94682,0.76457,0.64843,0.76275,0.44753,0.90374,0,0.000397019,0.000397019,0.000397019
116,3111.27,0.48674,0.63048,0.37032,0.84645,0,0.88598,0.97945,0.97241,0.80818,0.87358,0.96575,0.95435,0.77042,0.65555,0.77315,0.44519,0.91097,0,0.000389445,0.000389445,0.000389445
117,3134.57,0.50135,0.62219,0.37698,0.84741,0,0.89267,0.96842,0.97304,0.80213,0.88004,0.95472,0.95436,0.77124,0.6578,0.76806,0.45113,0.91408,0,0.000381899,0.000381899,0.000381899
118,3158.12,0.5161,0.68492,0.39062,0.86784,0,0.89777,0.96245,0.97063,0.78691,0.88501,0.94885,0.94989,0.76535,0.67279,0.76366,0.46217,0.91934,0,0.000374383,0.000374383,0.000374383
119,3181.83,0.54108,0.74773,0.41391,0.85919,0,0.90288,0.95515,0.96872,0.77502,0.88993,0.94145,0.94756,0.76161,0.68979,0.76343,0.46846,0.92967,0,0.000366899,0.000366899,0.000366899
120,3205.74,0.51484,0.68235,0.39378,0.85602,0,0.91334,0.93836,0.96928,0.77275,0.8995,0.92466,0.95065,0.74476,0.70842,0.77069,0.4719,0.93285,0,0.00035945,0.00035945,0.00035945
121,3229.49,0.50253,0.66343,0.38116,0.84854,0,0.91125,0.95205,0.9707,0.78761,0.8992,0.93836,0.95211,0.7434,0.69447,0.77899,0.47023,0.92335,0,0.000352037,0.000352037,0.000352037
122,3253.4,0.49773,0.58992,0.37976,0.85326,0,0.90506,0.96575,0.9709,0.79957,0.89446,0.95205,0.95345,0.74458,0.66191,0.78998,0.46789,0.90978,0,0.000344661,0.000344661,0.000344661
